t,symbol,high,low,open,close,volume
1604293200000,MSFT,205.28,200.12,204.29,202.33,30842163.0
1604379600000,MSFT,208.12,203.12,203.89,206.43,27511636.0
1604466000000,MSFT,218.32,212.4185,214.02,216.39,42299777.0
1604552400000,MSFT,224.12,221.15,222.04,223.29,36080137.0
1604638800000,MSFT,224.36,218.03,222.26,223.72,25231895.0
1604898000000,MSFT,228.12,217.88,224.435,218.39,44347950.0
1604984400000,MSFT,216.5,209.72,214.5,211.01,44022470.0
1605070800000,MSFT,218.04,212.2,212.39,216.55,29440788.0
1605157200000,MSFT,219.11,214.46,217.21,215.44,21616115.0
1605243600000,MSFT,217.42,214.16,216.36,216.51,18630307.0
1605502800000,MSFT,217.74,214.52,214.87,217.23,24953344.0
1605589200000,MSFT,217.68,214.08,216.1,214.46,24154112.0
1605675600000,MSFT,215.17,210.93,213.65,211.08,28372789.0
1605762000000,MSFT,213.03,209.93,211.38,212.42,24792746.0
1605848400000,MSFT,213.285,210.0,212.2,210.39,22843119.0
1606107600000,MSFT,212.29,208.16,210.95,210.11,25683507.0
1606194000000,MSFT,214.25,208.86,209.59,213.86,33979731.0
1606280400000,MSFT,215.29,212.46,215.11,213.87,20938887.0
1606453200000,MSFT,216.27,214.04,214.85,215.23,14512213.0
1606712400000,MSFT,214.76,210.835,214.1,214.07,33064753.0
1606798800000,MSFT,217.32,213.35,214.51,216.21,30931318.0
1606885200000,MSFT,215.47,212.8,214.88,215.37,23724509.0
1606971600000,MSFT,216.3757,213.65,214.61,214.24,25120922.0
1607058000000,MSFT,215.38,213.18,214.22,214.36,24144649.0
1607317200000,MSFT,215.54,212.99,214.37,214.29,24496997.0
1607403600000,MSFT,216.95,212.89,213.97,216.01,23284094.0
1607490000000,MSFT,215.225,211.214,215.16,211.8,32282603.0
1607576400000,MSFT,213.08,210.36,211.77,210.52,26467017.0
1607662800000,MSFT,213.32,209.11,210.05,213.26,30786640.0
1607922000000,MSFT,216.21,212.88,213.1,214.2,28794179.0
1608008400000,MSFT,215.42,212.24,215.165,214.13,27018106.0
1608094800000,MSFT,220.11,214.72,214.75,219.28,35021923.0
1608181200000,MSFT,220.89,217.92,219.87,219.42,32442784.0
1608267600000,MSFT,219.69,216.02,218.59,218.59,63354922.0
1608526800000,MSFT,224.0,217.2801,217.55,222.59,37181886.0
1608613200000,MSFT,225.63,221.85,222.69,223.94,22643397.0
1608699600000,MSFT,223.5589,220.8,223.11,221.02,18699638.0
1608786000000,MSFT,223.61,221.2,221.42,222.75,10550572.0
1609131600000,MSFT,226.03,223.02,224.45,224.96,17933496.0
1609218000000,MSFT,227.18,223.58,226.31,224.15,17402513.0
1609304400000,MSFT,225.63,221.47,225.23,221.68,20272337.0
1609390800000,MSFT,223.0,219.68,221.7,222.42,20692132.0
1609736400000,MSFT,223.0,214.81,222.53,217.69,37130139.0
1609822800000,MSFT,218.52,215.7,217.26,217.9,23808703.0
1609909200000,MSFT,216.4899,211.94,212.17,212.25,35930653.0
1609995600000,MSFT,219.34,213.71,214.04,218.29,27694480.0
1610082000000,MSFT,220.58,217.0261,218.68,219.62,22956136.0
1610341200000,MSFT,218.91,216.73,218.47,217.49,23047029.0
1610427600000,MSFT,217.1,213.3202,216.5,214.93,23249336.0
1610514000000,MSFT,216.76,213.9266,214.02,216.34,20087080.0
1610600400000,MSFT,217.46,212.74,215.91,213.02,28846837.0
1610686800000,MSFT,214.51,212.03,213.52,212.65,31730012.0
1611032400000,MSFT,216.98,212.63,213.75,216.44,30480859.0
1611118800000,MSFT,225.79,217.2908,217.7,224.34,37777260.0
1611205200000,MSFT,226.3,222.42,224.7,224.97,30746353.0
1611291600000,MSFT,230.07,225.8,227.08,225.95,30172663.0
1611550800000,MSFT,229.78,224.22,229.12,229.53,33152095.0
1611637200000,MSFT,234.18,230.08,231.86,232.33,49167001.0
1611723600000,MSFT,240.44,230.14,238.0,232.9,69789638.0
1611810000000,MSFT,242.64,235.09,235.61,238.93,49111159.0
1611896400000,MSFT,238.02,231.35,235.99,231.96,42503138.0
1612155600000,MSFT,242.5,232.43,235.06,239.65,33314193.0
1612242000000,MSFT,242.31,238.69,241.3,239.51,25916337.0
1612328400000,MSFT,245.09,239.26,239.57,243.0,27033104.0
1612414800000,MSFT,243.2399,240.37,242.66,242.01,25196100.0
1612501200000,MSFT,243.28,240.42,242.23,242.2,18054752.0
1612760400000,MSFT,243.68,240.81,243.15,242.47,22211929.0
1612846800000,MSFT,244.76,241.38,241.87,243.77,23564953.0
1612933200000,MSFT,245.92,240.89,245.0,242.82,22186706.0
1613019600000,MSFT,245.15,242.15,244.78,244.49,15741059.0
1613106000000,MSFT,245.3,242.73,243.9332,244.99,16561079.0
1613451600000,MSFT,246.13,242.92,245.03,243.7,26578487.0
1613538000000,MSFT,244.31,240.94,241.32,244.2,20685609.0
1613624400000,MSFT,243.93,240.86,241.8,243.79,16925563.0
1613710800000,MSFT,243.86,240.18,243.75,240.97,25262600.0
1613970000000,MSFT,237.93,232.4,237.42,234.51,36310936.0
1614056400000,MSFT,234.83,228.73,230.325,233.27,30228704.0
1614142800000,MSFT,235.2,229.0,230.01,234.55,26339746.0
1614229200000,MSFT,234.5852,227.88,232.08,228.99,39437555.0
1614315600000,MSFT,235.37,229.54,231.525,232.38,37818227.0
1614574800000,MSFT,237.47,233.15,235.9,236.94,25332837.0
1614661200000,MSFT,237.3,233.45,237.01,233.87,22812459.0
1614747600000,MSFT,233.5799,227.26,232.155,227.56,33944526.0
1614834000000,MSFT,232.49,224.26,226.735,226.73,44727785.0
1614920400000,MSFT,233.27,226.46,229.5165,231.6,41865120.0
1615179600000,MSFT,233.365,227.13,231.37,227.39,35267440.0
