t,symbol,high,low,open,close,volume
1613538000000,TSLA,266.6133,254.0033,259.6967,266.05,78176661.0
1613624400000,TSLA,264.8967,258.7567,260.3,262.46,53861094.0
1613710800000,TSLA,265.5966,259.1233,265.0,260.4333,56874765.0
1613970000000,TSLA,256.1667,236.7333,254.2133,238.1667,111790428.0
1614056400000,TSLA,237.87,206.3333,220.71,232.9467,199814007.0
1614142800000,TSLA,248.3333,231.39,237.2833,247.34,110135100.0
1614229200000,TSLA,245.7355,223.5267,242.05,227.4067,117071565.0
1614315600000,TSLA,235.5667,219.8367,233.3333,225.1667,123267519.0
1614574800000,TSLA,290.6667,228.35,230.0367,239.4767,81408606.0
1614661200000,TSLA,240.37,228.3333,239.4267,228.8133,71196474.0
1614747600000,TSLA,233.5667,217.235,229.33,217.7333,90548880.0
1614834000000,TSLA,291.3133,200.0,218.6,207.1467,197758590.0
1614920400000,TSLA,209.2806,179.83,208.6867,199.3167,268137297.0
1615179600000,TSLA,206.7083,186.2633,200.1833,187.6667,155360874.0
1615266000000,TSLA,226.03,198.4033,202.7267,224.5267,202569984.0
1615352400000,TSLA,239.2833,218.3533,233.4333,222.6867,181815615.0
1615438800000,TSLA,234.1667,225.7267,233.1333,233.2,108761676.0
1615525200000,TSLA,231.6267,222.0465,223.3333,231.2433,100751520.0
1615780800000,TSLA,237.7267,228.0133,231.3633,235.98,88269744.0
1615867200000,TSLA,235.9733,223.6667,234.45,225.6267,96587016.0
1615953600000,TSLA,234.5767,217.0033,218.9567,233.9367,121117359.0
1616040000000,TSLA,229.7433,217.3333,228.0967,217.72,100107066.0
1616126400000,TSLA,219.0767,208.2067,215.5333,218.29,128624754.0
1616385600000,TSLA,233.2067,222.9167,228.1967,223.3333,118536663.0
1616472000000,TSLA,225.9333,219.17,225.2567,220.72,91475610.0
1616558400000,TSLA,222.6733,210.0367,222.6367,210.09,101355102.0
1616644800000,TSLA,215.1667,203.1667,204.3333,213.4633,117666018.0
1616731200000,TSLA,214.6067,199.9633,213.9567,206.2367,101505216.0
1616990400000,TSLA,205.4933,198.6733,205.2133,203.7633,85907835.0
1617076800000,TSLA,212.5533,197.0033,200.5833,211.8733,118297077.0
1617163200000,TSLA,224.0,213.7033,215.54,222.6433,99997239.0
1617249600000,TSLA,230.8068,219.8067,229.4567,220.5833,105895134.0
1617595200000,TSLA,236.0533,228.2333,235.9033,230.35,125443290.0
1617681600000,TSLA,232.1833,227.1233,230.1,230.54,84815367.0
1617768000000,TSLA,230.46,222.6133,229.0,223.6567,78927816.0
1617854400000,TSLA,229.85,223.8817,225.7933,227.9333,71472537.0
1617940800000,TSLA,226.99,223.1433,225.9233,225.6733,64311261.0
